kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
8192,16,1047559,3231483,7779318,7400641,11098803,3721887,7036884,5464503,7199064,3771317,3156669,6158977,7379976,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,32,1107028,3284616,6040947,6590145,10190307,3923327,7353127,7006749,14152589,4402382,3766356,7800511,12027327,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,64,1165100,3585187,10038471,8677127,17434361,5088216,10100441,8224350,10734715,4974045,3886054,10356163,17586057,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,128,1231319,3376611,6948652,7578564,12605351,4196452,9121717,8743368,10076743,4798976,3574371,10638329,17505420,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,256,1256214,3912159,6913698,8024590,19059035,5158495,7136266,8452984,9614327,4334079,3730372,10585888,18788074,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,512,1173816,4295608,10190307,9627797,19370632,5244315,11113162,8291831,12228510,4949683,4027252,11719650,19502569,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,1024,1258192,3986138,9603578,8094537,15520665,4216019,9092750,6763986,13723005,4836126,3780030,10409500,18655463,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,2048,1261287,4454317,11251448,11442544,22256517,5558204,10556617,7049878,14270145,4979812,3627963,8384911,17070568,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,4096,1245378,3897073,10598950,13165630,20321517,5267631,10819219,6600272,12245943,4198503,5910025,8469653,15058135,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,8192,1198171,4518161,7961372,12961998,14222889,4425630,10163180,4558925,6943036,3860295,3621463,8275854,12605351,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,4,684403,1785533,4498582,3680978,3638491,1616746,3406878,2108618,3656301,1683896,1730846,3900126,4471651,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,8,865410,2438174,5620394,5033359,5535284,2411564,4690491,3927993,4347186,2494915,2438088,5793828,6157214,3.489,linux-AMD64,1024,32,17,iozone-100.out
16384,16,946069,3047588,8711011,6350680,8414486,3296561,7735364,5494566,7278984,3245648,3062391,7246745,10806978,3.489,linux-AMD64,1024,32,17,iozone-100.out
