kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
4096,1024,1383263,6086096,25610798,23801238,24977794,6094733,19221033,8344580,25271734,6461498,6309619,25421314,25764430,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,2048,1386053,6049663,25919917,24977794,25123904,6122971,25458986,7431363,26077293,4708354,9394037,25610798,25123904,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,4096,1337183,6007355,25764430,25764430,26602226,6068897,25421314,6114255,25764430,6140479,6131713,25271734,26077293,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,4,790500,2132846,5752696,5826839,4715983,2065036,4607218,2545013,4729615,2203280,2199754,5657967,5610847,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,8,1018887,3040737,9845745,9706673,8208631,3130212,7952160,4089565,8250021,3221485,3221183,9627797,9481672,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,16,1178365,3833591,14146762,13906289,12245943,4133350,12206788,5781736,12206788,4156350,4150325,13883812,13657548,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,32,1276611,4427912,18788074,18665597,16616521,5013234,16961023,7387910,17036712,4890505,4893290,18455061,18124082,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,64,1333591,5583494,21901844,21277939,20369707,5546540,20381790,8605412,20083951,5323125,5351312,21626142,21776913,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,128,1356066,5893805,23947311,23140898,22637771,5810089,22757722,9133841,22894195,5614514,5649594,23329444,23814529,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,256,1375610,5996667,24303013,24251552,22141778,5988306,23537199,9042498,23140898,5745001,5776876,24098471,23748688,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,512,1382140,5966469,24901867,24598796,24166268,6045199,24371967,8932018,24458712,5237920,5261179,24669441,24014258,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,1024,1379587,5357988,25455321,24901867,24758320,6104267,25138714,8835550,25512023,5603526,5660764,25212499,25760677,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,2048,1383531,5519808,24758320,25138714,25607089,6063334,25436477,8376734,25607089,6527546,6521352,25212499,25361377,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,4096,1379864,5958192,25361377,25361377,25588019,6077276,25047088,7481208,23814529,4751854,9175306,23814529,24389267,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,8192,1326179,5282208,22818175,23537199,23537199,5847664,22372451,5928379,22818175,5936574,5888754,22578268,22955376,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,4,785089,2107778,5241038,5576609,4270994,2059577,4556146,2537383,4655852,2177574,2179577,5492809,5503807,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,8,991754,3255951,9219381,9304262,7976903,3079684,7526113,4066528,7953822,3159253,3172672,9006713,9157949,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,16,1163143,4023434,12993382,13139967,11830224,4075693,11482323,5803614,11711273,4064363,4019668,12563421,12672310,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,32,1253460,4649237,16635853,17172117,16045434,4914218,15693657,7437329,15874927,4803271,4766953,16515906,16981165,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,64,1312196,5126480,18553747,19507030,19347757,5428590,17576187,8640909,19158962,5221128,5227483,19385964,19646453,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,128,1340977,5512638,20006801,20606740,20844260,5669079,19095078,9072110,20768664,5414049,5454443,20901319,21556984,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,256,1352937,5567122,20662504,21165256,21672560,5808029,20977885,9241698,21754891,5512638,5523715,20819000,21309648,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,512,1351792,5634219,21035679,21907470,22026845,5893706,21469430,9138464,22532411,4976857,4925842,20952301,21727378,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,1024,1360436,5765150,21638438,22291212,22599101,5901805,20332374,9241698,24783372,5094556,4955681,18989545,21503020,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,2048,1355499,5736755,21389241,22204779,22197606,5895729,17245377,8908634,25633889,5343741,5420027,19624011,21503020,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,4096,1341946,5494566,19908269,20557424,20869581,5734361,19668946,8324784,25768460,6116114,6106332,17451210,20129873,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,8192,1329099,5443210,18142291,19207157,18161470,5357489,15604566,7059152,23375516,4703976,8384712,15370714,17504553,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,16384,1293426,4886264,13586816,13769215,13517329,4773907,13331147,4947119,13190410,4982992,5186451,13530637,13676046,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,64,1251210,4537315,12617406,13018990,11863725,4258925,11453431,8530855,13298649,4540463,4679122,14191193,14321322,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,128,1293740,4919285,13997522,14739068,12393269,4889359,14148826,9212463,14099476,4638067,4809626,13937903,14805755,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,256,1348090,5124723,14668282,14828118,14397836,4931287,13878789,9079785,14487379,4603578,4850876,14461465,14531801,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,512,1363011,4857391,14339252,14557968,14461465,5004366,14309394,8992456,14629249,4263417,4415595,14517986,14582682,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,1024,1361309,5152195,14491962,14753308,14453860,4943170,14191193,8877449,14524122,4332769,4494876,14479747,14707523,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,2048,1360232,5081898,14409913,14654206,14366232,4958149,13820174,8147038,23555018,4342489,4588823,14284112,14621467,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,4096,1346928,5044963,14069166,14340749,14093692,4866679,13967649,7546695,21006118,4507997,4871164,14070606,14680816,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,8192,1332524,4726430,12555165,13740040,14191193,4748967,13061055,6995485,23091975,5228637,5353483,13325726,13709887,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,16384,1335177,4686461,11538045,11753141,11648547,4401877,11699117,5532344,13018990,4326904,7800253,12024609,12661576,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,64,1277308,4227342,11881060,12312115,10659633,4214509,11780748,8561092,11823313,4198095,4197775,11881060,11387858,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,128,1318980,4604180,12920955,13149658,12747780,4398975,12154238,9068344,11727971,4075356,4310133,12473582,12725354,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,256,1328356,4498613,12610347,13088921,11972135,4450324,12939202,9151978,11850838,4263668,4414375,12525875,12461706,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,512,1348837,4699908,13266432,13630891,13320434,4532587,12988113,9164489,12464532,3896998,4062466,13123291,13339828,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,1024,1346597,4746245,13301098,13361226,13223672,4529376,13068386,8998286,11729972,3903029,4100586,13127678,13501008,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,2048,1349890,4779420,13013939,13347601,13261312,4560335,12888241,8804882,11445231,3889608,4198608,13047296,13487097,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,4096,1326638,4585134,12936157,13188776,13204615,4542925,11922285,8981234,25668399,4003651,4082983,11827382,13650521,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,8192,1319480,4414375,11268348,12772658,12559643,4492217,10768206,8441209,23058668,4260562,4349347,12138673,13047296,3.489,linux-AMD64,1024,32,17,iozone-001.out
