kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
8192,4096,1368760,5611763,24234447,25286719,23964013,6091282,25138714,7495897,25436477,4765034,9352628,24371967,24598796,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,8192,1325565,5060489,18162403,22757722,23078725,6019780,23683211,6072979,23814529,6028229,6091282,23748688,23537199,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,4,1142377,3449287,7086815,7255927,5661139,3181338,5490615,4425575,5694918,3457965,3459532,6622411,6561706,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,8,1233282,4264633,9799141,10922059,9357474,4215193,8502985,6343059,9438443,4365689,4388831,10908189,10871948,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,16,1289663,4961764,14881413,15057493,13192943,4958900,13107385,7873625,13256568,4911408,4892178,14706255,15001613,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,32,1313224,5226290,18061231,18429353,17336742,5375510,16531799,8771050,17137857,5271594,5288633,18287128,18409604,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,64,1327609,5173566,20147578,20894964,19885225,5702953,18684912,9508969,20076943,5483167,5461379,20153487,20302340,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,128,1334415,5470509,21362644,21754891,21935441,5876570,20977885,9821549,21851740,5607095,5613049,21415904,21706789,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,256,1336257,5468332,20844260,21556984,21844793,5903833,21476140,9443632,22055122,5631910,5665340,21197901,21672560,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,512,1337584,5396617,20526721,21362644,22055122,5902312,21584067,9351108,22048046,5001124,5030411,20177157,21113234,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,1024,1338470,5387732,18493829,20350438,21699934,5927769,21556984,9272875,25322180,5136059,5221128,21197901,22026845,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,2048,1313450,5335029,18449144,21113234,22262326,5933911,21224089,9022086,25481804,5438041,5448821,19691490,21356005,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,4096,1328687,5582498,19931365,20926779,20926779,5797739,20272394,8342976,24422253,6201667,6147850,17358638,19954516,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,8192,1309046,5366694,17845480,18958113,18365324,5425162,16635853,7001613,23608403,4710748,8341963,15268261,16480258,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,16384,1290487,5060044,13894495,13953743,13824615,4931852,13619128,5025629,13860865,5088520,5231462,13551983,13979290,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,64,1302432,4841649,13908283,14409913,12795963,4677848,13197764,9345897,15212164,4786511,4890055,15037404,15284911,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,128,1318728,5191311,15348066,15528411,14372241,5011300,14874658,9623359,15240842,4844550,5034245,15377259,15754472,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,256,1321403,5045148,15530166,15823397,15516140,5042742,15269627,9397017,15604221,4806935,4971601,15604221,15655768,3.489,linux-AMD64,1024,32,17,iozone-001.out
