kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
8192,256,1224125,4599816,12356037,9383277,19692587,4926264,11703682,8117485,16316670,4745947,5003744,17250547,18288074,3.489,linux-AMD64,1024,32,17,iozone.out
8192,512,1233574,2783561,9871202,6872214,10585888,4124914,12241580,8144423,23266255,4309616,4620228,8828739,13145483,3.489,linux-AMD64,1024,32,17,iozone.out
8192,1024,1170617,3541946,10343693,7249187,13789092,4776959,15367944,8024590,16919264,4306915,4778952,7223279,10012145,3.489,linux-AMD64,1024,32,17,iozone.out
8192,2048,1091831,3636025,10124250,9172856,15005525,4481623,13539152,7321790,23140898,5428245,4108146,12396156,14498968,3.489,linux-AMD64,1024,32,17,iozone.out
8192,4096,1173616,3862030,9131414,10819219,14862727,4471708,12879400,6122759,11620560,3555507,6989645,10088578,14002632,3.489,linux-AMD64,1024,32,17,iozone.out
8192,8192,1140314,3886054,6788039,11473111,11269901,3974610,9682056,4077917,9991764,4033398,4192356,9427042,6425016,3.489,linux-AMD64,1024,32,17,iozone.out
16384,4,618449,1454294,4043319,3664490,4014502,1396742,3663708,1905972,3667619,1404880,1429903,4694656,4319315,3.489,linux-AMD64,1024,32,17,iozone.out
16384,8,825025,1962863,6789921,4716244,5593404,2093267,5832677,3284115,5503367,2136679,2126958,5753084,5647647,3.489,linux-AMD64,1024,32,17,iozone.out
16384,16,920188,2644704,8790123,5612591,7383787,2731102,7529411,4827566,7436524,2608959,2586666,6665448,9001994,3.489,linux-AMD64,1024,32,17,iozone.out
16384,32,1056137,3124918,7846654,6189379,10266129,3308464,9164056,5899778,6759200,3161724,3083138,8738704,10227930,3.489,linux-AMD64,1024,32,17,iozone.out
16384,64,1119122,3662146,11828188,7259759,11787610,3453620,10194549,7812755,7020210,3229024,3533352,10786622,11635919,3.489,linux-AMD64,1024,32,17,iozone.out
16384,128,1158691,3566358,8866107,6784558,10310799,3583468,8402140,8459025,8312700,3731143,3545566,9729770,11465082,3.489,linux-AMD64,1024,32,17,iozone.out
16384,256,1186049,3272230,8875268,7380615,10008945,3390740,8977298,8070586,8845565,3685124,3891733,9448826,11610361,3.489,linux-AMD64,1024,32,17,iozone.out
16384,512,1166698,3680978,9037510,6936592,11602520,3943094,10220324,8039428,8908634,3724470,3909223,10125452,10343390,3.489,linux-AMD64,1024,32,17,iozone.out
16384,1024,1172971,3299885,8582633,6660280,9821549,3580481,9735283,8488281,14470896,3722856,3477916,9597952,12961523,3.489,linux-AMD64,1024,32,17,iozone.out
16384,2048,1170274,3780405,8705493,7403675,12101043,4127839,9706407,6390247,18224083,3141776,3555656,8627891,10482232,3.489,linux-AMD64,1024,32,17,iozone.out
16384,4096,1165135,3454488,8392905,7255927,9672252,3671931,7623802,6898295,13824615,4421020,4429283,9167723,11871097,3.489,linux-AMD64,1024,32,17,iozone.out
16384,8192,1088714,3501664,6827021,6706429,8546342,3536261,9303003,4410238,10570916,3886231,5716711,7536843,8618152,3.489,linux-AMD64,1024,32,17,iozone.out
16384,16384,1072521,3334148,5208070,7706737,7233777,3010077,7288248,3158673,6452650,3378072,3111336,5329650,7010899,3.489,linux-AMD64,1024,32,17,iozone.out
32768,64,1033695,3397009,8890082,6573257,9816503,3079670,9274630,7798040,9217406,3067299,2999880,9902793,10173273,3.489,linux-AMD64,1024,32,17,iozone.out
32768,128,1059318,3216014,10186091,6717510,10446225,3324374,9828437,7243233,8813123,2929917,3266072,8218653,9947230,3.489,linux-AMD64,1024,32,17,iozone.out
32768,256,1070048,3369443,8181958,5703617,8450082,3108015,8090923,8414901,7526033,2978879,3413970,8406666,7630916,3.489,linux-AMD64,1024,32,17,iozone.out
32768,512,1112255,3372916,8359115,5757858,8562744,3138391,8276560,7452575,7619071,3015943,2986257,9346533,8714770,3.489,linux-AMD64,1024,32,17,iozone.out
32768,1024,1149195,3157497,8373885,5873508,8567014,3228403,8094736,7416782,9640910,3029304,3075054,8333772,8243795,3.489,linux-AMD64,1024,32,17,iozone.out
